TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-03,2026-07-03,FO,NSE,IDO,63402,,MIDCPNIFTY,,2026-07-28,2026-07-28,13375.00,PE,MIDCPNIFTY26JUL13375PE,0.00,0.00,0.00,332.60,0.00,332.60,14545.90,27.95,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63404,,MIDCPNIFTY,,2026-07-28,2026-07-28,13400.00,PE,MIDCPNIFTY26JUL13400PE,10.25,10.95,10.25,10.35,10.35,340.95,14545.90,30.00,360,360,3,4827786.00,3,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63462,,MIDCPNIFTY,,2026-07-28,2026-07-28,14075.00,PE,MIDCPNIFTY26JUL14075PE,0.00,0.00,0.00,620.55,0.00,620.55,14545.90,144.10,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63524,,MIDCPNIFTY,,2026-07-28,2026-07-28,14850.00,PE,MIDCPNIFTY26JUL14850PE,357.00,367.00,357.00,367.00,367.00,341.60,14545.90,489.90,840,120,2,3650880.00,2,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63544,,MIDCPNIFTY,,2026-07-28,2026-07-28,15075.00,PE,MIDCPNIFTY26JUL15075PE,0.00,0.00,0.00,1222.95,0.00,1222.95,14545.90,638.85,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63554,,MIDCPNIFTY,,2026-07-28,2026-07-28,15200.00,PE,MIDCPNIFTY26JUL15200PE,0.00,0.00,0.00,1312.40,0.00,1312.40,14545.90,730.55,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63556,,MIDCPNIFTY,,2026-07-28,2026-07-28,15225.00,PE,MIDCPNIFTY26JUL15225PE,0.00,0.00,0.00,1330.65,0.00,1330.65,14545.90,749.50,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63576,,MIDCPNIFTY,,2026-07-28,2026-07-28,15475.00,PE,MIDCPNIFTY26JUL15475PE,0.00,0.00,0.00,1519.00,0.00,1519.00,14545.90,948.30,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63578,,MIDCPNIFTY,,2026-07-28,2026-07-28,15500.00,PE,MIDCPNIFTY26JUL15500PE,0.00,0.00,0.00,1045.00,1045.00,1045.00,14545.90,969.20,840,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60352,,MIDCPNIFTY,,2026-08-25,2026-08-25,12675.00,PE,MIDCPNIFTY26AUG12675PE,0.00,0.00,0.00,66.75,0.00,66.75,14545.90,24.10,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60387,,MIDCPNIFTY,,2026-08-25,2026-08-25,12900.00,PE,MIDCPNIFTY26AUG12900PE,0.00,0.00,0.00,91.70,0.00,91.70,14545.90,38.60,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60418,,MIDCPNIFTY,,2026-08-25,2026-08-25,13125.00,PE,MIDCPNIFTY26AUG13125PE,0.00,0.00,0.00,123.40,0.00,123.40,14545.90,59.50,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60450,,MIDCPNIFTY,,2026-08-25,2026-08-25,13475.00,PE,MIDCPNIFTY26AUG13475PE,0.00,0.00,0.00,188.25,0.00,188.25,14545.90,108.90,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63542,,MIDCPNIFTY,,2026-07-28,2026-07-28,15050.00,PE,MIDCPNIFTY26JUL15050PE,0.00,0.00,0.00,1205.40,0.00,1205.40,14545.90,621.30,0,0,0,0.00,0,F1,120,,,,,
