INFO 2026-05-15 07:32:10,043 cron zerodha_save_changein_oi : Processed 9500/43614 symbols
INFO 2026-05-15 07:32:10,130 cron zerodha_save_changein_oi : Processed 9600/43614 symbols
INFO 2026-05-15 07:32:10,223 cron zerodha_save_changein_oi : Processed 9700/43614 symbols
INFO 2026-05-15 07:32:10,366 cron zerodha_save_changein_oi : Processed 9800/43614 symbols
INFO 2026-05-15 07:32:10,475 cron zerodha_save_changein_oi : Processed 9900/43614 symbols
INFO 2026-05-15 07:32:10,576 cron zerodha_save_changein_oi : Processed 10000/43614 symbols
INFO 2026-05-15 07:32:10,676 cron zerodha_save_changein_oi : Processed 10100/43614 symbols
INFO 2026-05-15 07:32:10,934 cron zerodha_save_changein_oi : Processed 10200/43614 symbols
INFO 2026-05-15 07:32:11,246 cron zerodha_save_changein_oi : Processed 10300/43614 symbols
INFO 2026-05-15 07:32:11,360 cron zerodha_save_changein_oi : Processed 10400/43614 symbols
INFO 2026-05-15 07:32:11,530 cron zerodha_save_changein_oi : Processed 10500/43614 symbols
INFO 2026-05-15 07:32:11,639 cron zerodha_save_changein_oi : Processed 10600/43614 symbols
INFO 2026-05-15 07:32:11,932 cron zerodha_save_changein_oi : Processed 10700/43614 symbols
INFO 2026-05-15 07:32:12,032 cron zerodha_save_changein_oi : Processed 10800/43614 symbols
INFO 2026-05-15 07:32:12,161 cron zerodha_save_changein_oi : Processed 10900/43614 symbols
INFO 2026-05-15 07:32:12,294 cron zerodha_save_changein_oi : Processed 11000/43614 symbols
INFO 2026-05-15 07:32:12,385 cron zerodha_save_changein_oi : Processed 11100/43614 symbols
INFO 2026-05-15 07:32:12,490 cron zerodha_save_changein_oi : Processed 11200/43614 symbols
INFO 2026-05-15 07:32:12,586 cron zerodha_save_changein_oi : Processed 11300/43614 symbols
INFO 2026-05-15 07:32:12,690 cron zerodha_save_changein_oi : Processed 11400/43614 symbols
INFO 2026-05-15 07:32:12,800 cron zerodha_save_changein_oi : Processed 11500/43614 symbols
INFO 2026-05-15 07:32:13,088 cron zerodha_save_changein_oi : Processed 11600/43614 symbols
INFO 2026-05-15 07:32:13,195 cron zerodha_save_changein_oi : Processed 11700/43614 symbols
INFO 2026-05-15 07:32:13,285 cron zerodha_save_changein_oi : Processed 11800/43614 symbols
INFO 2026-05-15 07:32:13,381 cron zerodha_save_changein_oi : Processed 11900/43614 symbols
